user_id,ndcg,novelty,precision,recall,num_recommendations,num_train_items,num_test_items
0,0.0,0.9999853978600978,0.0,0.0,5,29,8
1,0.0,0.9993831284671473,0.0,0.0,5,5,2
2,0.0,0.9999900815653493,0.0,0.0,5,9,3
3,0.0,0.9999322240298876,0.0,0.0,5,8,3
4,0.0,0.999110922538403,0.0,0.0,5,12,4
5,1.0,0.999423904254044,0.0,0.0,5,27,7
6,0.0,0.9996321913817068,0.0,0.0,5,8,3
8,0.0,0.9999873264446132,0.0,0.0,5,23,6
9,0.0,0.999971071232269,0.0,0.0,5,16,5
11,0.0,0.9999787855703307,0.0,0.0,5,28,8
12,0.0,0.9999997244879264,0.0,0.0,5,8,3
13,0.43067655807339306,0.9999443465611272,0.2,0.16666666666666666,5,29,8
14,0.0,0.99982532534532,0.0,0.0,5,110,28
15,0.0,0.9999997244879264,0.0,0.0,5,24,7
16,0.0,0.9999933877102329,0.0,0.0,5,21,6
17,0.0,0.9999242341797524,0.0,0.0,5,4,2
18,0.0,0.9997437737715261,0.0,0.0,5,12,3
19,0.0,0.9999975203913373,0.0,0.0,5,10,3
20,0.0,0.9997220083177094,0.0,0.0,5,73,19
21,0.0,0.9999944897585274,0.0,0.0,5,28,7
22,0.3868528072345416,0.9995644154115944,0.2,0.25,5,23,6
23,0.0,0.9999917346377913,0.0,0.0,5,12,4
24,0.0,1.0,0.0,0.0,5,41,11
26,0.0,0.9990574731961193,0.0,0.0,5,14,4
27,0.0,0.9999280913487831,0.0,0.0,5,18,5
28,0.0,0.9999980714154846,0.0,0.0,5,78,20
29,0.0,0.9999272648125622,0.0,0.0,5,13,4
30,0.0,0.9999413159283174,0.0,0.0,5,51,13
